masked_positions	masked_percentage	log_file
16936	4.2	scaffold16-199_out.log
16941	4.2	scaffold16-196_out.log
16225	4.1	scaffold14-178_out.log
16226	4.1	scaffold2-34_out.log
16238	4.1	scaffold8-119_out.log
16339	4.1	scaffold10-138_out.log
16344	4.1	scaffold16-198_out.log
16401	4.1	scaffold69-485_out.log
16508	4.1	scaffold8-121_out.log
16560	4.1	scaffold8-117_out.log
15829	4.0	scaffold8-120_out.log
15899	4.0	scaffold19-222_out.log
15901	4.0	scaffold38-362_out.log
15904	4.0	scaffold30-314_out.log
15991	4.0	scaffold25-272_out.log
16038	4.0	scaffold2-32_out.log
16120	4.0	scaffold10-140_out.log
16171	4.0	scaffold8-114_out.log
15446	3.9	scaffold4-67_out.log
15465	3.9	scaffold2-27_out.log
15570	3.9	scaffold4-68_out.log
15597	3.9	scaffold18-217_out.log
15615	3.9	scaffold12-157_out.log
15695	3.9	scaffold12-161_out.log
15747	3.9	scaffold16-194_out.log
15778	3.9	scaffold2-26_out.log
15147	3.8	scaffold2-31_out.log
14627	3.7	scaffold2-28_out.log
14204	3.6	scaffold4-71_out.log
14258	3.6	scaffold18-214_out.log
14600	3.6	scaffold12-158_out.log
13966	3.5	scaffold14-180_out.log
14020	3.5	scaffold8-115_out.log
14026	3.5	scaffold49-423_out.log
13559	3.4	scaffold25-273_out.log
13701	3.4	scaffold8-116_out.log
13218	3.3	scaffold8-113_out.log
13363	3.3	scaffold38-363_out.log
12720	3.2	scaffold12-159_out.log
12891	3.2	scaffold8-118_out.log
12982	3.2	scaffold12-160_out.log
12208	3.1	scaffold25-275_out.log
12010	3.0	scaffold38-364_out.log
12127	3.0	scaffold25-274_out.log
11603	2.9	scaffold25-277_out.log
11379	2.8	scaffold25-276_out.log
1053	2.5	scaffold43-395_out.log
2017	2.5	scaffold49-425_out.log
9505	2.4	scaffold49-424_out.log
1403	1.9	scaffold38-365_out.log
